City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
San Francisco,uberX,COMPLETED,2016-12-30 20:48:05 +0000 UTC,2016-12-30 20:54:06 +0000 UTC,37.3528809054,-121.960439952,"2039 El Camino Real, Santa Clara, CA 95050, USA",2016-12-30 21:09:50 +0000 UTC,37.3328163894,-121.911713602,"1302 W Julian St, San Jose, CA 95126, USA",4.66,11.38,USD
Los Angeles,uberX,COMPLETED,2016-12-27 03:57:47 +0000 UTC,2016-12-27 04:01:04 +0000 UTC,34.1015235,-118.3398403,"6838 Hollywood Blvd, Los Angeles, CA 90028, USA",2016-12-27 04:12:32 +0000 UTC,34.1720933,-118.3778562,"11350 Burbank Blvd, North Hollywood, CA 91601, USA",6.62,10.6,USD
Los Angeles,uberX,COMPLETED,2016-12-26 20:07:10 +0000 UTC,2016-12-26 20:09:52 +0000 UTC,34.1720297,-118.3778509,"11350 Burbank Blvd, North Hollywood, CA 91601, USA",2016-12-26 20:28:33 +0000 UTC,34.1015519,-118.3418974,"7018 Hollywood Blvd, Los Angeles, CA 90028, United States",7.96,11.85,USD
Seattle,uberX,COMPLETED,2016-12-23 23:28:34 +0000 UTC,2016-12-23 23:36:07 +0000 UTC,47.611893852,-122.347789269,"2226 Elliott Ave, Seattle, WA 98121, USA",2016-12-23 23:50:47 +0000 UTC,47.6118388389,-122.336189875,"4th Ave and Pine St, Seattle, WA 98101, US",1.03,5.76,USD
Seattle,uberPOOL: MATCHED,COMPLETED,2016-12-22 08:51:05 +0000 UTC,2016-12-22 08:58:19 +0000 UTC,47.6223292,-122.3305734,"422 Yale Ave N, Seattle, WA 98109, USA",2016-12-22 09:04:15 +0000 UTC,47.617197,-122.3455291,"2218 5th Ave, Seattle, WA 98121, USA",1.26,3.99,USD
Seattle,uberPOOL: MATCHED,COMPLETED,2016-12-22 04:53:42 +0000 UTC,2016-12-22 04:58:15 +0000 UTC,47.6119301,-122.3478427,"2226B Elliott Ave, Seattle, WA 98121, USA",2016-12-22 05:12:53 +0000 UTC,47.6220026,-122.3339361,"301 Minor Ave N, Seattle, WA 98109, USA",2.35,3.99,USD
Seattle,uberPOOL: MATCHED,COMPLETED,2016-12-21 05:26:26 +0000 UTC,2016-12-21 05:30:47 +0000 UTC,47.6247713,-122.3474402,"500 Mercer St, Seattle, WA 98109, USA",2016-12-21 05:37:16 +0000 UTC,47.6118777,-122.3475909,"2226 Elliott Ave, Seattle, WA 98121, USA",1.51,3.99,USD
Seattle,uberPOOL,COMPLETED,2016-12-19 06:05:12 +0000 UTC,2016-12-19 06:17:43 +0000 UTC,47.6193730265,-122.34631346,"100 Taylor Ave N, Seattle, WA 98109, USA",2016-12-19 06:20:40 +0000 UTC,47.6106371911,-122.345373975,"2226 Elliott Ave, Seattle, WA 98121, USA",1.03,3.99,USD
Seattle,uberPOOL,COMPLETED,2016-12-19 01:20:33 +0000 UTC,2016-12-19 01:25:30 +0000 UTC,47.6116852,-122.3473182,"2226B Elliott Ave, Seattle, WA 98121, USA",2016-12-19 01:30:53 +0000 UTC,47.6248145,-122.3473917,"500 Mercer St, Seattle, WA 98109, USA",1.36,3.99,USD
Seattle,uberPOOL: MATCHED,COMPLETED,2016-12-11 03:14:20 +0000 UTC,2016-12-11 03:16:11 +0000 UTC,47.6094952,-122.3371277,"1419 3rd Ave, Seattle, WA 98101, USA",2016-12-11 03:28:59 +0000 UTC,47.6117592,-122.3470879,"2226 Elliott Ave, Seattle, WA 98121, USA",1.68,4,USD
Seattle,UberEATS Marketplace,COMPLETED,2016-12-06 05:22:41 +0000 UTC,2016-12-06 05:22:47 +0000 UTC,47.6120555,-122.3473374,,2016-12-06 05:58:18 +0000 UTC,47.6120555,-122.3473374,,1.62,18.23,USD
Seattle,uberPOOL: MATCHED,COMPLETED,2016-12-05 01:51:04 +0000 UTC,2016-12-05 01:57:42 +0000 UTC,47.6099125485,-122.337982388,"222 Pike St, Seattle, WA 98101, USA",2016-12-05 02:04:03 +0000 UTC,47.6117532133,-122.347085734,"2226 Elliott Ave, Seattle, WA 98121, USA",0.92,4,USD
Seattle,uberPOOL,COMPLETED,2016-12-05 01:14:33 +0000 UTC,2016-12-05 01:17:30 +0000 UTC,47.6116661,-122.3469542,"2226 Elliott Ave, Seattle, WA 98121, USA",2016-12-05 01:25:06 +0000 UTC,47.6095834,-122.3381576,"222 Pike St, Seattle, WA 98101, USA",0.96,4,USD
Seattle,UberEATS Marketplace,COMPLETED,2016-12-04 03:47:45 +0000 UTC,2016-12-04 03:47:53 +0000 UTC,47.6120645,-122.3472721,,2016-12-04 04:21:09 +0000 UTC,47.6120645,-122.3472721,,1.10,24,USD
Seattle,UberEATS Marketplace,COMPLETED,2016-12-01 22:34:01 +0000 UTC,2016-12-01 22:35:09 +0000 UTC,47.6120555,-122.3473374,,2016-12-01 23:21:10 +0000 UTC,47.6120555,-122.3473374,,1.08,23.14,USD
Seattle,uberPOOL,COMPLETED,2016-11-29 05:36:28 +0000 UTC,2016-11-29 05:39:16 +0000 UTC,47.617776068,-122.34499991,"500 Wall St, Seattle, WA 98121, USA",2016-11-29 05:43:48 +0000 UTC,47.6117798221,-122.347122794,"2226 Elliott Ave, Seattle, WA 98121, USA",0.59,4,USD
